Código de Ruta,Descripción de la ruta,Código recorrido ,Descripción del recorrido,Sentido,Dia,Mes,Año,Cantidad de Pasajeros Regulares,Cantidad de Adultos Mayores,Ingresos
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,3,6,2026,2379,180,1296555
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,2,6,2026,2574,190,1402830
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,1,6,2026,2576,214,1403920
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,30,6,2026,159,0,95400
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,29,6,2026,127,0,76200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,26,6,2026,88,0,52800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,25,6,2026,95,0,57000
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,24,6,2026,118,0,70800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,23,6,2026,117,0,70200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,22,6,2026,132,0,79200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,19,6,2026,111,0,66600
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,18,6,2026,84,0,50400
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,17,6,2026,88,0,52800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,16,6,2026,113,0,67800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,15,6,2026,120,0,72000
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,12,6,2026,97,0,58200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,11,6,2026,90,0,54000
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,10,6,2026,108,0,64800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,9,6,2026,117,0,70200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,8,6,2026,120,0,72000
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,5,6,2026,82,0,49200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,4,6,2026,108,0,64800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,3,6,2026,83,0,49800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,2,6,2026,99,0,59400
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Destino – Origen,1,6,2026,108,0,64800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,30,6,2026,38,0,22800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,29,6,2026,34,0,20400
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,26,6,2026,58,0,34800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,25,6,2026,76,0,45600
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,24,6,2026,75,0,45000
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,23,6,2026,50,0,30000
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,22,6,2026,38,0,22800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,19,6,2026,56,0,33600
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,18,6,2026,92,0,55200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,17,6,2026,78,0,46800
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,16,6,2026,72,0,43200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,15,6,2026,84,0,50400
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,12,6,2026,84,0,50400
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,11,6,2026,97,0,58200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,10,6,2026,90,0,54000
RF003,UNIVERSIDAD LATINA - HEREDIA,T4468,UNIVERSIDAD LATINA - HEREDIA,Origen – Destino,9,6,2026,83,0,49800
